"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.694362382576085e+00, 2.645046825961148e+02, 3.842079181456005e+01, 3.806792492777493e+05
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.514860981324685e+00, 2.626566355632376e+02, 3.811547120617608e+01, 3.416076877425436e+05
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.498920830505114e+00, 2.828210427867929e+02, 4.097540740175187e+01, 3.392235161229213e+05
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.475675141559366e+00, 2.921826129809289e+02, 4.223640137667820e+01, 3.347373263281846e+05
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.458110527744664e+00, 2.973953363830432e+02, 4.286582486077099e+01, 3.312614425926479e+05
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.445583162725292e+00, 3.022219028229864e+02, 4.340854484449707e+01, 3.288586852279165e+05
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.434040059151474e+00, 3.058112441702397e+02, 4.374231326926065e+01, 3.266007480341905e+05
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.423844417974502e+00, 3.089793378018360e+02, 4.398621771218009e+01, 3.246119373853583e+05
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.414446359950711e+00, 3.117547803600380e+02, 4.414384094082666e+01, 3.227741839261312e+05
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.405690908539215e+00, 3.142456237347113e+02, 4.423296017026732e+01, 3.210598176870326e+05
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.397440840593744e+00, 3.165075010637958e+02, 4.426106456282471e+01, 3.194420925976069e+05
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.389593163384926e+00, 3.185821572984133e+02, 4.423622116056287e+01, 3.179010157339739e+05
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.382090976287991e+00, 3.205041687868543e+02, 4.416350848542343e+01, 3.164261680762716e+05
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.374875955082298e+00, 3.222897664726968e+02, 4.404685394456445e+01, 3.150057564914297e+05
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.367916308483888e+00, 3.239616263982302e+02, 4.389049919054177e+01, 3.136341808979881e+05
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.361182229817881e+00, 3.255303932276089e+02, 4.369728247909819e+01, 3.123055246619882e+05
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.354643786189840e+00, 3.270094001707527e+02, 4.346982799745412e+01, 3.110140845464406e+05
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.348272828388130e+00, 3.284082869092025e+02, 4.321128168059520e+01, 3.097543440425217e+05
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.342060272163786e+00, 3.297352195607285e+02, 4.292291681315403e+01, 3.085247607745242e+05
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.335980684914876e+00, 3.309923872016058e+02, 4.260701688722711e+01, 3.073199386451942e+05
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.330033844778858e+00, 3.321927870067866e+02, 4.226583672058578e+01, 3.061406221619736e+05
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.324204456061589e+00, 3.333366474872491e+02, 4.190039965599430e+01, 3.049834643287261e+05
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.318466587091576e+00, 3.344247004777284e+02, 4.151194455404757e+01, 3.038429152651880e+05
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.312831027610293e+00, 3.354718919130468e+02, 4.110306501550051e+01, 3.027222648223826e+05
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.307261594539130e+00, 3.364716751501202e+02, 4.067304291215312e+01, 3.016132845823533e+05
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.301756258637545e+00, 3.374339541208836e+02, 4.022450623258131e+01, 3.005162205008611e+05
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.296302749835783e+00, 3.383574186724658e+02, 3.975679718557547e+01, 2.994283120654480e+05
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.290896176013689e+00, 3.392482020673215e+02, 3.927096026386879e+01, 2.983489347853118e+05
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.285526969007340e+00, 3.401048661990886e+02, 3.876718615839884e+01, 2.972759132440018e+05
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.280196483370925e+00, 3.409291375942485e+02, 3.824486688314978e+01, 2.962096117376660e+05
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.274902831406819e+00, 3.417280585138440e+02, 3.770499135869664e+01, 2.951501353455292e+05
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.269622103310840e+00, 3.425002283843029e+02, 3.714640590740506e+01, 2.940922976119682e+05
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.264315961919138e+00, 3.432450561970763e+02, 3.656833191253997e+01, 2.930279518586008e+05
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.258982197243574e+00, 3.439708041102483e+02, 3.597071587772049e+01, 2.919572668957199e+05
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.253629181408621e+00, 3.446778229609409e+02, 3.535217651588859e+01, 2.908820218021128e+05
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.248234592290547e+00, 3.453583358605566e+02, 3.471053999749309e+01, 2.897968961552180e+05
